open,high,low,close,Volume,timestamp,price_range,body_size,upper_shadow,lower_shadow,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,price_above_sma20,price_above_ema20,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,volatility,atr,momentum_1,momentum_3,momentum_5,momentum_10,volume_sma,volume_ratio,price_volume,wave_trend,wave_strength,support_resistance
1794.497,1795.338,1792.104,1794.768,0.960660012868175,1970-01-01 00:00:00.025640910,3.2339999999999236,0.27099999999995816,0.5699999999999363,2.393000000000029,1799.8002000000001,1799.2278483952225,1809.0004000000001,1802.771449672578,1801.61855,1800.4414902605788,1794.89902,1798.4389731785743,0,0,53.34398576746948,3.704638516853038,5.684285453988408,-1.97964693713537,1833.4493191821196,1769.7877808178803,0.3923910704010248,15.915384591059865,3.2269999999999754,0.001659789015924673,-2.061505288875054e-05,-0.017904358332311854,-0.008474632452870168,1.0,1.0,1794.768,-1,0.5585983066749604,1
1787.378,1787.955,1786.918,1787.278,0.164560000630445,1970-01-01 00:00:00.025640912,1.0370000000000346,0.09999999999990905,0.5769999999999982,0.36000000000012733,1792.4063999999998,1795.244565596815,1807.0577,1799.9544588230183,1801.9140499999999,1799.187824521476,1794.2242200000003,1798.0012879378062,0,0,46.5671368229874,2.2002538095086948,4.987479125092466,-2.787225315583771,1833.0555270326972,1770.7725729673025,0.26500713205361864,15.570738516348685,2.833214285714267,-0.004173241332584454,-0.00340640363736322,-0.02026534783940992,-0.010752723881319759,1.0,1.0,1787.278,-1,0.5769154823520295,-1
1789.767,1791.557,1788.787,1791.277,0.499769997419207,1970-01-01 00:00:00.025640913,2.769999999999982,1.509999999999991,0.2799999999999727,0.9800000000000182,1791.7007999999998,1793.92204373121,1805.0828999999999,1798.3767390370149,1802.3619999999999,1798.4344126622875,1793.5506,1797.7375903611528,0,0,49.65511523793737,1.3155392517942346,4.2530911504328195,-2.937551898638585,1832.5600777847499,1772.1639222152498,0.3164618278187607,15.099038892374992,2.5003571428571183,0.002237480682915516,-0.0002885376332324441,-0.0019656731511222825,-0.010904322138015843,1.0,1.0,1791.277,-1,0.0539504520823982,0
1807.508,1808.558,1805.624,1805.874,1.07277999958751,1970-01-01 00:00:00.025640914,2.933999999999969,1.6340000000000146,1.0499999999999545,0.25,1794.1982,1797.90602915414,1804.4285,1799.7398773939212,1803.7288,1799.1429447896885,1793.39192,1798.0566652611171,1,1,44.26659813873239,1.7718279686641836,3.7568385140790923,-1.9850105454149087,1831.7852350708229,1775.6723649291773,0.5382300886514059,14.028217535411407,2.6720714285714036,0.00814893508932446,0.006187986413842994,0.006962802786013356,-0.003610646109230786,1.0,1.0,1805.874,-1,0.19312697246846744,1
1793.927,1794.997,1793.577,1793.768,0.50653999800852,1970-01-01 00:00:00.025640915,1.4200000000000728,0.15899999999987813,1.0700000000001637,0.19100000000003092,1794.593,1796.52668610276,1800.4686000000002,1798.6540815041171,1803.8325499999999,1798.6310452859088,1793.10152,1797.8884823035396,0,0,42.757349030176265,1.143406559161349,3.2341521230955435,-2.0907455639341945,1831.7164016970348,1775.9486983029649,0.31952726421454103,13.941925848517526,2.7063571428571356,-0.006703679215714908,0.003631220213083708,0.0011016891450690292,-0.021599057908209263,1.0,1.0,1793.768,-1,0.03722966532652787,0
1753.854,1758.364,1753.434,1756.884,0.969990022713318,1970-01-01 00:00:00.025640916,4.930000000000064,3.0299999999999727,1.4800000000000182,0.42000000000007276,1787.0162,1783.3124574018402,1793.4082000000003,1791.0595212306414,1801.39185,1794.6551362110606,1792.04204,1796.2804633330768,0,0,32.9712547424548,-2.304290061493475,2.1264636861777397,-4.430753747671215,1836.2591616242753,1766.5245383757247,-0.1382460810229589,17.433655812137697,2.868714285714288,-0.020562302371321173,-0.01920026885847359,-0.021108020646679715,-0.038634453413647574,1.0,1.0,1756.884,-1,0.6096157318025391,0
1750.574,1752.624,1747.998,1751.364,0.985870014766988,1970-01-01 00:00:00.025640917,4.625999999999976,0.7899999999999636,1.259999999999991,2.576000000000022,1779.8334,1772.6629716012267,1786.1199000000001,1783.8421537341612,1799.62765,1790.5321708576262,1791.0186200000003,1794.5190333388796,0,0,29.77387530935343,-5.419559037089584,0.6172591415242744,-6.036818178613859,1840.6613239110836,1758.5939760889162,-0.08809808383941994,20.516836955541898,3.02342857142857,-0.003141926274016993,-0.0301848301708757,-0.020094243872525674,-0.03995237487028902,1.0,1.0,1751.364,-1,0.5496700921950668,-1
1753.774,1754.158,1753.034,1754.014,0.0765800032022526,1970-01-01 00:00:00.025640919,1.1239999999997963,0.2400000000000091,0.14400000000000546,0.7399999999997817,1772.3808000000001,1766.4466477341512,1782.0408,1778.4188530552228,1797.5524,1787.0542498235666,1790.02834,1792.9306006073136,0,0,30.367347487595936,-7.5871394705382045,-1.0236205808882217,-6.563518889649982,1843.3792185897973,1751.7255814102027,0.024968115398552437,22.913409294898706,3.005857142857118,0.0015131063559601365,-0.02216228631573325,-0.02080247778540123,-0.022727260064463906,1.0,1.0,1754.014,-1,0.5021148647428809,0
1761.534,1762.084,1760.918,1761.458,0.428019993676571,1970-01-01 00:00:00.025640920,1.1660000000001673,0.07600000000002183,0.5499999999999545,0.540000000000191,1763.4976,1764.783765156101,1778.8479,1775.3350615906368,1796.01985,1784.6165117451314,1789.29294,1791.6963809371255,0,0,23.413710744840557,-8.605099759188079,-2.5399164165481936,-6.065183342639886,1844.5816133915177,1747.458086608482,0.14414543885738867,24.280881695758964,2.804785714285702,0.004243979808599141,0.0026034729669119905,-0.02459529291633855,-0.017803742304365877,1.0,1.0,1761.458,-1,0.5782140715515105,0
1778.608,1781.658,1778.574,1780.748,0.81443001122534,1970-01-01 00:00:00.025640921,3.0839999999998327,2.1400000000001,0.9099999999998545,0.03399999999987813,1760.8936,1770.105176770734,1777.7433,1776.319232210521,1794.13885,1784.248082055119,1788.8947400000002,1791.267032652204,0,0,34.27829503256012,-7.765779760162559,-3.5850890852710675,-4.180690674891491,1841.9646071575587,1746.3130928424414,0.3600037846145878,23.912878578779274,2.9529285714285476,0.010951155236173626,0.016777780061711933,-0.007258463747820243,-0.006164771173472028,1.0,1.0,1780.748,-1,0.17478848677717965,1
